,OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen,geometry,points
12176,12177,20104,,,1137,1143,,Tremont,ST,,Boston,Boston,A35,35,FT,,,,0,0,S,28,Roxbury,Roxbury,0.03922734,-1.0, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,4181,120.8202198274423,"LINESTRING (-7913501.84675798 5211321.020840713, -7913527.672922986 5211304.455735281, -7913543.711722706 5211294.056913999)",<shapely.coords.CoordinateSequence object at 0x14d4adfd0>
12177,12178,15643,1456,1462,1451,1463,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.049,0.049, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,151.1564894114411,"LINESTRING (-7914502.907152195 5210810.358961945, -7914506.573424824 5210811.270957649, -7914540.21836171 5210819.398283987, -7914563.403669099 5210824.999010517)",<shapely.coords.CoordinateSequence object at 0x14d4adfa0>
12178,12179,11315,1470,1498,1469,1489,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.022,0.022, , ,MA,MA,025,025,07000,07000,02120,02120, , ,07000,07000,4181,409.26885864998826,"LINESTRING (-7914581.272221398 5210829.325530021, -7914600.323566605 5210836.135951614, -7914739.999696285 5210886.065970661)",<shapely.coords.CoordinateSequence object at 0x14d4adf40>
12180,12181,15315,88,98,93,101,,Belvidere,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.06111431,0.06111431, , ,MA,MA,025,025,07000,07000,02199,02115, , ,07000,07000,379,134.4514926560233,"LINESTRING (-7912971.69993155 5212936.762943924, -7912967.581956406 5212936.00184511, -7912933.668297167 5212929.660901958, -7912919.343430016 5212926.982508638, -7912917.268095065 5212926.602817386)",<shapely.coords.CoordinateSequence object at 0x14d4ade80>
12181,12182,13766,,,198,168,,Huntington,AVE,,Boston,Boston,A35,35,FT,,,,0,0,S,9,Boston,Boston,0.029,-1.0, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,2139,203.83543331610053,"LINESTRING (-7912980.689445011 5212633.237075432, -7912980.413158403 5212633.545148433, -7912947.8296484 5212668.414318566, -7912923.276933174 5212694.689270933)",<shapely.coords.CoordinateSequence object at 0x14d4ade20>
12182,12183,16588,,,,,,Huntington,AVE,,Boston,Boston,A35,35,FT,,,,0,-1,S,9,Boston,Boston,0.177,-1.0, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,2139,481.9599805965834,"LINESTRING (-7912976.075773343 5212665.967139288, -7913010.041846453 5212614.573783119, -7913082.211402894 5212533.43508514, -7913101.360140374 5212512.056317399)",<shapely.coords.CoordinateSequence object at 0x14d4addc0>
12183,12184,13959,,,211,245,,Huntington,AVE,,Boston,Boston,A60,20,FT,,,,0,0,,,Boston,Boston,0.319,-1.0, , ,MA,MA,025,025, , ,02115,02115, , ,07000,07000,2139,556.8289522441174,"LINESTRING (-7912976.075773343 5212665.967139288, -7912999.907497542 5212639.225405974, -7913014.664920725 5212622.843957202, -7913023.248032404 5212613.590987126, -7913109.193936532 5212519.433441381, -7913128.501304569 5212498.281187507, -7913130.588380014 5212495.943594874)",<shapely.coords.CoordinateSequence object at 0x14d4add60>
12184,12185,13964,,,251,283,,Huntington,AVE,,Boston,Boston,A60,20,FT,,,,0,0,,,Boston,Boston,0.25142598,-1.0, , ,MA,MA,025,025, , ,02115,02115, , ,07000,07000,2139,442.509725333015,"LINESTRING (-7913171.382055021 5212449.985912886, -7913188.9618485 5212430.112566418, -7913260.888042683 5212348.801504662, -7913289.791586542 5212311.101426108)",<shapely.coords.CoordinateSequence object at 0x14d4add00>
12185,12186,16596,,,,,,Huntington,AVE,,Boston,Boston,A35,35,FT,,,,-1,0,S,9,Boston,Boston,0.144,-1.0, , ,MA,MA,025,025,07000,07000,02115,02115, , ,07000,07000,2139,377.96196335353466,"LINESTRING (-7913181.646434293 5212423.430030904, -7913289.791586542 5212311.101426108)",<shapely.coords.CoordinateSequence object at 0x14d4adca0>
12396,12397,13384,1222,1248,1223,1247,,Boylston,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.028,0.028, , ,MA,MA,025,025,07000,07000,02215,02215, , ,07000,07000,504,153.21500841393103,"LINESTRING (-7914240.243484667 5212856.458675482, -7914263.83039326 5212847.688639534, -7914299.405492956 5212834.461195383)",<shapely.coords.CoordinateSequence object at 0x14d495be0>
12596,12597,6976,2,16,1,17,,Savoy,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,0.098,-1.0, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,3767,372.6047863568018,"LINESTRING (-7911243.340359739 5212369.444764585, -7911223.243640664 5212349.602964822, -7911212.09902647 5212338.599625914, -7911187.196370902 5212326.591095155, -7911112.165597251 5212293.456364165)",<shapely.coords.CoordinateSequence object at 0x14d4a1fd0>
12626,12627,9212,26,2,27,1,,Lawrence,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,-1.0,0.093, , ,MA,MA,025,025,07000,07000,02116,02116, , ,07000,07000,2385,616.0009189845837,"LINESTRING (-7911805.322525904 5212968.050779518, -7911761.001187735 5212984.153336151, -7911629.556876404 5213031.727891529, -7911566.720477396 5213054.469904474)",<shapely.coords.CoordinateSequence object at 0x14d4a14c0>
12627,12628,13161,50,28,49,29,,Lawrence,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,-1.0,0.058, , ,MA,MA,025,025,07000,07000,02116,02116, , ,07000,07000,2385,610.3991490857409,"LINESTRING (-7912041.756750478 5212882.441255056, -7911999.601581572 5212897.625949522, -7911846.704478404 5212952.563415484, -7911839.07674528 5212955.304087589, -7911805.322525904 5212968.050779518)",<shapely.coords.CoordinateSequence object at 0x14d4a1460>
12685,12686,22592,,,146,124,,Dudley,ST,,Boston,Boston,A35,25,FT,,,,0,0,,,Roxbury,Roxbury,-1.0,0.018, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,1274,164.38898962089792,"LINESTRING (-7912983.320360725 5210340.122073483, -7912994.452343466 5210347.048545191, -7913016.048374359 5210350.361191286, -7913032.74632345 5210353.222113233, -7913048.219670872 5210356.384198426)",<shapely.coords.CoordinateSequence object at 0x14d588e20>
12778,12779,9855,2,68,1,67,,Bradston,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.308,-1.0, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,522,1251.1664216655188,"LINESTRING (-7911630.672608077 5210896.514646715, -7911635.346624667 5210924.017260119, -7911632.751053039 5210938.776769958, -7911628.209951789 5210946.398573345, -7911595.261169722 5210995.095745053, -7911552.843697689 5211053.869361416, -7911524.51306788 5211081.839360144, -7911504.330306154 5211101.765112601, -7911468.802371812 5211130.92454291, -7911465.813903496 5211131.632568294, -7911462.87689741 5211132.340853263, -7911459.915130115 5211132.842397892, -7911455.260419753 5211132.302301298, -7911450.63241203 5211131.555723509, -7911288.034249057 5211044.263412959, -7911273.839406771 5211037.373094383)",<shapely.coords.CoordinateSequence object at 0x14d585ac0>
12779,12780,20775,,,,,,General Casimir Pulaski,SKWY,,Boston,Boston,A35,25,FT,,,,0,0,,,Roxbury,Roxbury,0.30187318,-1.0, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,1684,664.1209950954817,"LINESTRING (-7911404.030314938 5211243.617415837, -7911414.828253615 5211236.238545239, -7911443.994081703 5211214.252442994, -7911457.018462912 5211205.066493161, -7911468.595576522 5211196.181777811, -7911489.078381688 5211179.315840743, -7911509.004573366 5211162.751031798, -7911523.810056928 5211150.553460333, -7911538.281674747 5211138.205198827, -7911556.204143665 5211122.092270901, -7911563.773790741 5211115.466395724, -7911574.683198527 5211105.979435365, -7911612.197768443 5211066.525505303)",<shapely.coords.CoordinateSequence object at 0x14d585a60>
12780,12781,9866,111,55,112,54,W,Newton,ST,,Boston,Boston,A31,25,FT,,,,0,0,,,Boston,Boston,0.30768641,-1.0, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,2980,676.9100952241907,"LINESTRING (-7912205.798437766 5212248.549015649, -7912174.808426782 5212213.162688567, -7912172.872378494 5212210.990123159, -7912151.595789782 5212187.113974455, -7912097.128569202 5212125.588067644, -7912072.78595337 5212098.090562281, -7912020.773385406 5212039.33649916)",<shapely.coords.CoordinateSequence object at 0x14d585a00>
12781,12782,17226,81,27,82,32,,Rutland,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Boston,Boston,-1.0,0.318, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,3692,700.3593650071913,"LINESTRING (-7912289.53342744 5212187.387789314, -7912251.181913312 5212141.84016241, -7912250.146382406 5212140.732136669, -7912249.338759973 5212139.867947559, -7912227.968730504 5212115.895144261, -7912097.695843571 5211971.324821603)",<shapely.coords.CoordinateSequence object at 0x14d5859a0>
